2026.03.02 23:17:22 INFO  no build target found for D:\CODING\JAVA\consumer-service\src\main\java\com\example\consumer_service\config\KafkaConsumerProperties.java. Using fallback presentation compiler.
2026.03.02 23:17:23 INFO  no build target found for D:\CODING\JAVA\consumer-service\src\main\java\com\example\consumer_service\config\KafkaConsumerProperties.java. Using fallback presentation compiler.
2026.03.02 23:17:24 INFO  no build target found for D:\CODING\JAVA\consumer-service\src\main\java\com\example\consumer_service\config\KafkaConsumerProperties.java. Using fallback presentation compiler.
2026.03.02 23:17:23 INFO  no build target found for D:\CODING\JAVA\consumer-service\src\main\java\com\example\consumer_service\config\KafkaConsumerProperties.java. Using fallback presentation compiler.
2026.03.02 23:17:23 INFO  no build target found for D:\CODING\JAVA\consumer-service\src\main\java\com\example\consumer_service\config\KafkaConsumerProperties.java. Using fallback presentation compiler.
2026.03.02 23:17:24 INFO  no build target found for D:\CODING\JAVA\consumer-service\src\main\java\com\example\consumer_service\config\KafkaConsumerProperties.java. Using fallback presentation compiler.
2026.03.02 23:17:25 INFO  no build target found for D:\CODING\JAVA\consumer-service\src\main\java\com\example\consumer_service\config\KafkaConsumerProperties.java. Using fallback presentation compiler.
2026.03.02 23:17:25 INFO  no build target found for D:\CODING\JAVA\consumer-service\src\main\java\com\example\consumer_service\config\KafkaConsumerProperties.java. Using fallback presentation compiler.
2026.03.02 23:17:25 INFO  no build target found for D:\CODING\JAVA\consumer-service\src\main\java\com\example\consumer_service\config\KafkaConsumerProperties.java. Using fallback presentation compiler.
2026.03.02 23:17:25 INFO  no build target found for D:\CODING\JAVA\consumer-service\src\main\java\com\example\consumer_service\config\KafkaConsumerProperties.java. Using fallback presentation compiler.
2026.03.02 23:17:25 INFO  no build target found for D:\CODING\JAVA\consumer-service\src\main\java\com\example\consumer_service\config\KafkaConsumerProperties.java. Using fallback presentation compiler.
2026.03.02 23:17:25 INFO  no build target found for D:\CODING\JAVA\consumer-service\src\main\java\com\example\consumer_service\config\KafkaConsumerProperties.java. Using fallback presentation compiler.
2026.03.02 23:17:26 INFO  no build target found for D:\CODING\JAVA\consumer-service\src\main\java\com\example\consumer_service\config\KafkaConsumerProperties.java. Using fallback presentation compiler.
